key,en,es,ja,ko,zh_Hans,zh_Hant,fr,hi,pt_BR,de
Laung_Name,English,Spansish,japaneese,korean,Simplified chineese,Traditional chineese,french,hindi,brazillian portchaguess,german
Sign in with Google,Sign in with Google,Iniciar sesión con Google,,,,,,,,
Sign in with Discord,Sign in with Discord,Iniciar sesión con Discord,,,,,,,,
Sign in with Email,Sign in with Email,Iniciar sesión con correo electrónico,,,,,,,,
Email: ,Email: ,Correo electrónico: ,,,,,,,,
User ID: ,User ID: ,ID de usuario: ,,,,,,,,
Name: ,Name: ,Nombre: ,,,,,,,,
Opening browser for authentication...,Opening browser for authentication...,Abriendo el navegador web para la autenticación...,,,,,,,,
Sign Out,Sign Out,Desconectar,,,,,,,,
[b][font_size=20]You are signed in![/font_size][/b],[b][font_size=20]You are signed in![/font_size][/b],[b][font_size=20]¡Has iniciado sesión![/font_size][/b],,,,,,,,
Username,Username,Nombre de usuario,,,,,,,,
Password,Password,Contraseña,,,,,,,,
Submit,Submit,Entregar,,,,,,,,
Forgot password,Forgot password,No sé mi contraseña.,,,,,,,,
Go to Register,Go to Register,Ir al registro,,,,,,,,
Login,Login,Iniciar sesión,,,,,,,,
Username or password is incorrect,Username or password is incorrect,El nombre de usuario o la contraseña son incorrectos.,,,,,,,,
Username is already taken,Username is already taken,El nombre de usuario ya está ocupado.,,,,,,,,
Invalid email address,Invalid email address,Dirección de correo electrónico no válida,,,,,,,,
"What would you like to do,","What would you like to do,",¿Qué te gustaría hacer,,,,,,,,
Register,Register,registro,,,,,,,,
Email address,Email address,Correo electrónico,,,,,,,,
Go to Login,Go to Login,Ir a Iniciar sesión,,,,,,,,
Home,Home,Hogar,,,,,,,,
Change password,Change password,Cambiar la contraseña,,,,,,,,
Change email,Change email,Cambiar correo electrónico,,,,,,,,
Change identifier,Change identifier,Cambiar nombre de usuario,,,,,,,,
Log out,Log out,Finalizar la sesión,,,,,,,,
Delete account,Delete account,Eliminar cuenta,,,,,,,,
Verify,Verify,Verificar,,,,,,,,
Current password,Current password,Contraseña actual,,,,,,,,
New email,New email,Nuevo correo electrónico,,,,,,,,
Cancel,Cancel,Cancelar,,,,,,,,
New identifier,New identifier,Nuevo nombre de usuario,,,,,,,,
New password,New password,New password,,,,,,,,
Reset password,Reset password,Restablecer contraseña,,,,,,,,
Code,Code,Código de correo electrónico,,,,,,,,
Verification code,Verification code,Código de verificación,,,,,,,,
Username is required,Username is required,El nombre de usuario es obligatorio.,,,,,,,,
Password is required,Password is required,Se requiere contraseña.,,,,,,,,
Verification code is required,Verification code is required,Se requiere el código de verificación.,,,,,,,,
Verification code is incorrect,Verification code is incorrect,El código de verificación es incorrecto.,,,,,,,,
Verification session is invalid,Verification session is invalid,La sesión de verificación no es válida.,,,,,,,,
Current password is required,Current password is required,Se requiere la contraseña actual.,,,,,,,,
New email is required,New email is required,Se requiere una nueva dirección de correo electrónico.,,,,,,,,
Current password is incorrect,Current password is incorrect,La contraseña actual es incorrecta.,,,,,,,,
New email must be different from the current email,New email must be different from the current email,La nueva dirección de correo electrónico debe ser diferente de la dirección actual.,,,,,,,,
New identifier is required,New identifier is required,Se requiere un nuevo nombre de usuario.,,,,,,,,
New identifier must be different from the current identifier,New identifier must be different from the current identifier,El nuevo nombre de usuario debe ser diferente del nombre de usuario actual.,,,,,,,,
Identifier is already taken,Identifier is already taken,El nombre de usuario ya está ocupado.,,,,,,,,
New password is required,New password is required,Se requiere una nueva contraseña.,,,,,,,,
New password must be different from the current password,New password must be different from the current password,La nueva contraseña debe ser diferente de la contraseña actual.,,,,,,,,
Email is required,Email is required,El correo electrónico es obligatorio.,,,,,,,,
Code is required,Code is required,Se requiere un código.,,,,,,,,
Reset code is invalid,Reset code is invalid,El código de restablecimiento es inválido.,,,,,,,,
[b]Inbox,[b]Inbox,[b]Bandeja de entrada,,,,,,,,
player username,player username,Nombre de usuario del jugador,,,,,,,,
message,message,texto,,,,,,,,
send,send,enviar,,,,,,,,
Direct Connect,Direct Connect,Conexión directa,,,,,,,,
Friends,Friends,Amigos,,,,,,,,
[b]Friends,[b]Friends,[b]Amigos,,,,,,,,
[url=https://www.flaticon.com/free-icons/user]User icons created by Freepik - Flaticon,[url=https://www.flaticon.com/free-icons/user]User icons created by Freepik - Flaticon,[url=https://www.flaticon.com/free-icons/user]Iconos de usuario creados por Freepik - Flaticon,,,,,,,,
show status bar,show status bar,Mostrar barra de estado,,,,,,,,
Choose..,Choose..,Elegir..,,,,,,,,
language:,language:,Idioma:,,,,,,,,
Save,Save,Guardar,,,,,,,,
Theme: ,Theme: ,Tema de color:,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
notes:,,,,,,,,,,
If the text says \n delete it for laungages other than english. the \n means new line,,,,,,,,,,
"If the text says %s that is a way to insert text inside there. it would most likely be the player name, use context when deciding what the %s is.",,,,,,,,,,
identifier is basicly just the username,,,,,,,,,,
Before Translating check if there are spaces the spaces are important,,,,,,,,,,
zh_Hans =  Simplified chineese,,,,,,,,,,
zh_Hans = Traditional chineese,,,,,,,,,,
pt_BR = brazillian portchaguess,,,,,,,,,,
